Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expenses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2009,R13000,tokyo,Kanto,13048000,6471000,6577000,12746000,1526000,8658000,2685000,106613,1,98304,413370,357150,91028,26803,17,30,4,1802,172019,166628,31077,594326,18690,311305,18569,308375,47020,627259,141399,1029,23,594,326258,80873,24503,21496,16035,15559,33260,18495,38998,66352
2009,R14000,kanagawa,Kanto,9006000,4533000,4473000,8880000,1201000,5953000,1790000,78057,1,63745,228793,207327,54983,17763,16,30,4,1894,144332,92913,24256,488120,14127,230944,12328,191747,5252,185534,34390,962,25,300,316354,74817,15153,20374,14597,15325,39425,17448,39570,70262
2009,R15000,niigata,Tyubu,2385000,1153000,1232000,2373000,300000,1458000,620000,17948,1,25148,24544,29005,10838,3365,14,28,1,1793,16278,57733,8828,129053,5203,67776,4896,66722,2264,23670,5245,1061,24,111,296163,70220,16332,24451,12737,12404,36099,11875,30885,71677
2009,R16000,toyama,Tyubu,1098000,529000,569000,1085000,140000,671000,284000,8426,1,11480,12964,14896,5024,1699,15,29,1,2224,7823,29386,3679,60459,2141,30918,2318,28110,1102,10004,2206,969,21,92,314574,72146,21720,25596,11710,11178,37682,10468,29715,81598
2009,R17000,ishikawa,Tyubu,1171000,565000,605000,1160000,159000,731000,274000,9849,1,11246,18194,19064,5887,1863,15,29,1,2292,8200,35481,4232,67132,2386,34052,2520,32086,2519,24111,5248,1013,15,88,341504,75664,14866,24065,13404,14501,49701,20026,34496,84172
2009,R18000,fukui,Tyubu,810000,391000,418000,798000,114000,493000,200000,7042,2,8187,9391,11681,4017,1327,15,30,0,2067,5446,23590,3203,47472,1928,25040,1837,23694,949,8409,1876,978,19,66,309122,73211,8113,23857,11364,14199,38433,12843,29652,86640
2009,R19000,yamanashi,Tyubu,867000,424000,443000,854000,117000,539000,210000,6621,1,8586,14179,15361,4226,1658,15,32,-2,1023,7201,20059,3352,49820,2016,27053,2062,27394,1086,16604,3599,1013,18,52,302073,72120,14323,21514,13076,10352,39471,11475,32789,78276
2009,R20000,nagano,Tyubu,2162000,1051000,1111000,2129000,289000,1304000,566000,17310,1,22130,27939,32467,10744,3878,12,30,-3,975,13167,52596,7761,125832,4850,64918,4629,60337,1557,14401,3058,881,25,118,311398,66715,15158,23276,12939,13957,38480,10517,31707,87729
2009,R21000,gifu,Tyubu,2091000,1012000,1079000,2049000,289000,1309000,493000,17327,1,19402,27962,33150,10364,3534,16,32,1,1904,23954,40813,7480,123777,4426,62816,4126,57049,1670,18463,4179,991,23,91,318069,75316,16659,23673,13193,11259,44026,20110,31908,71842
2009,R22000,shizuoka,Tyubu,3783000,1864000,1919000,3711000,508000,2399000,885000,31901,1,34209,57844,60982,20716,7352,17,31,3,2351,63432,51650,11463,213771,6833,108500,7132,101853,2030,31962,7259,1012,22,153,301157,71518,27014,23064,12665,14855,33756,9928,31067,67952
2009,R23000,aichi,Tyubu,7411000,3712000,3700000,7234000,1087000,4860000,1471000,69768,1,55189,120530,116455,45790,14513,17,32,1,1756,98480,133904,22904,439379,13200,215509,12045,188093,10115,169198,36578,1010,24,293,288259,71809,18227,21901,14578,12447,33472,15908,31692,59192
2009,R24000,mie,Kansai,1864000,908000,956000,1826000,254000,1172000,445000,15614,1,17590,30334,33758,9720,3438,16,30,2,1524,20786,37245,7202,107830,4121,54707,3842,51373,1210,13816,3078,1000,30,93,293516,65255,15212,20126,13305,11749,38316,11881,35907,71172
2009,R25000,shiga,Kansai,1409000,696000,713000,1384000,210000,910000,284000,13151,1,11036,28095,27011,7771,2470,15,30,1,1402,19558,25466,5205,87258,2988,42412,2768,38126,920,33640,7423,918,20,53,315298,70987,10033,22830,13689,14334,58735,12827,33260,68749
2009,R26000,kyoto,Kansai,2637000,1266000,1371000,2594000,346000,1670000,606000,21058,1,23191,54863,58464,13640,5054,16,32,2,1458,30933,46487,8723,140729,5224,72024,5199,70272,8985,137525,29498,977,13,164,278307,76026,10616,21360,11527,12903,33953,15418,28334,57133
2009,R27000,osaka,Kansai,8855000,4284000,4571000,8685000,1208000,5655000,1938000,75250,1,73135,159651,161924,51689,20737,17,33,3,1165,125693,132421,26829,498933,15773,247972,14711,219674,12449,204764,43186,1117,12,500,270714,69415,23060,19941,11376,11006,28499,12530,27245,59983
2009,R28000,hyogo,Kansai,5591000,2677000,2914000,5509000,771000,3539000,1273000,47592,1,48864,97234,97031,29980,10808,17,31,4,1198,72088,80314,18506,325442,10631,160879,10259,142682,6502,111342,23391,1043,17,319,283793,73926,14819,19563,14822,11654,37411,12473,33592,56862
2009,R29000,nara,Kansai,1404000,665000,738000,1395000,185000,885000,329000,10758,1,12139,26387,29271,6584,2612,15,32,0,1287,18636,20404,4928,79588,3023,41878,2654,38016,1469,22059,5011,946,14,71,329130,76405,14236,22144,13426,15283,53545,15376,38954,69428
2009,R30000,wakayama,Kansai,1008000,474000,534000,1003000,129000,607000,268000,7516,1,11736,12675,15179,4708,2028,17,32,3,1516,8895,19299,3971,56892,2511,30826,2347,29877,657,7230,1574,1025,14,82,260471,64105,13248,19390,10447,12346,30102,7847,27827,65862
2009,R31000,tottori,Tyugoku,592000,282000,310000,588000,76000,362000,153000,4876,1,6636,9870,11723,2758,1150,15,30,0,1852,4603,16179,2532,32762,1465,17344,1490,17181,778,6019,1343,953,23,41,262639,63362,21608,21086,9232,10987,34962,8861,24015,59804
2009,R32000,shimane,Tyugoku,721000,344000,377000,717000,91000,418000,209000,5601,2,8854,11101,13000,3220,1127,15,29,1,1615,5267,19969,3496,39009,1979,20744,1839,20523,778,6365,1365,895,22,49,288821,65735,21649,24108,11661,11864,36336,8216,27275,72428
