Year,Area_Code,Prefecture,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2009,R20000,nagano,2162000,1051000,1111000,2129000,289000,1304000,566000,17310,1.43,22130,27939,32467,10744,3878,12.4,29.8,-3.2,975,13167,52596,7761,125832,4850,64918,4629,60337,1557,14401,3058,881,24.7,118,311398,66715,15158,23276,12939,13957,38480,10517,31707,87729
2009,R21000,gifu,2091000,1012000,1079000,2049000,289000,1309000,493000,17327,1.37,19402,27962,33150,10364,3534,16.3,32,0.8,1904,23954,40813,7480,123777,4426,62816,4126,57049,1670,18463,4179,991,22.9,91,318069,75316,16659,23673,13193,11259,44026,20110,31908,71842
2009,R22000,shizuoka,3783000,1864000,1919000,3711000,508000,2399000,885000,31901,1.43,34209,57844,60982,20716,7352,17,30.8,2.5,2350.5,63432,51650,11463,213771,6833,108500,7132,101853,2030,31962,7259,1012,21.6,153,301157,71518,27014,23064,12665,14855,33756,9928,31067,67952
2009,R23000,aichi,7411000,3712000,3700000,7234000,1087000,4860000,1471000,69768,1.43,55189,120530,116455,45790,14513,16.5,31.9,1.3,1755.5,98480,133904,22904,439379,13200,215509,12045,188093,10115,169198,36578,1010,23.5,293,288259,71809,18227,21901,14578,12447,33472,15908,31692,59192
2009,R24000,mie,1864000,908000,956000,1826000,254000,1172000,445000,15614,1.4,17590,30334,33758,9720,3438,16.3,30.1,2.4,1524,20786,37245,7202,107830,4121,54707,3842,51373,1210,13816,3078,1000,30.1,93,293516,65255,15212,20126,13305,11749,38316,11881,35907,71172
2009,R25000,shiga,1409000,696000,713000,1384000,210000,910000,284000,13151,1.44,11036,28095,27011,7771,2470,15,30.3,1.1,1402,19558,25466,5205,87258,2988,42412,2768,38126,920,33640,7423,918,19.5,53,315298,70987,10033,22830,13689,14334,58735,12827,33260,68749
2009,R26000,kyoto,2637000,1266000,1371000,2594000,346000,1670000,606000,21058,1.2,23191,54863,58464,13640,5054,16.1,32.1,1.7,1457.5,30933,46487,8723,140729,5224,72024,5199,70272,8985,137525,29498,977,12.9,164,278307,76026,10616,21360,11527,12903,33953,15418,28334,57133
2009,R27000,osaka,8855000,4284000,4571000,8685000,1208000,5655000,1938000,75250,1.28,73135,159651,161924,51689,20737,17.1,32.5,3.3,1165,125693,132421,26829,498933,15773,247972,14711,219674,12449,204764,43186,1117,11.8,500,270714,69415,23060,19941,11376,11006,28499,12530,27245,59983
2009,R28000,hyogo,5591000,2677000,2914000,5509000,771000,3539000,1273000,47592,1.33,48864,97234,97031,29980,10808,17.1,31.4,3.7,1197.5,72088,80314,18506,325442,10631,160879,10259,142682,6502,111342,23391,1043,17.4,319,283793,73926,14819,19563,14822,11654,37411,12473,33592,56862
2009,R29000,nara,1404000,665000,738000,1395000,185000,885000,329000,10758,1.23,12139,26387,29271,6584,2612,15.1,31.6,0.1,1287,18636,20404,4928,79588,3023,41878,2654,38016,1469,22059,5011,946,14.1,71,329130,76405,14236,22144,13426,15283,53545,15376,38954,69428
