Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2020,R20000,nagano,Tyubu,2048011,1000389,1047622,1997083,242873,1118429,646942,12864,1,25428,26050,28131,7701,2910,13,34,-2,1030,8775,52058,7209,103666,4715,55507,4344,54280,1637,16388,3355,807,21,111,270419,72276,20126,23588,9181,12337,36873,7203,24597,52558
2020,R21000,gifu,Tyubu,1978742,960436,1018306,1900727,240520,1105215,593751,12092,1,22720,24615,30312,7003,2834,17,36,3,2089,19001,37467,7280,104118,4229,54433,4079,52577,1876,19827,4145,878,16,85,304271,76629,18816,22270,10997,17115,49751,11658,27896,55781
2020,R22000,shizuoka,Tyubu,3633202,1791118,1842084,3523817,438723,2071258,1084282,22497,1,42191,48690,54270,13846,5474,18,33,5,2614,34376,62833,11564,187254,6937,97950,6663,94652,2171,33809,7390,858,18,140,281343,79406,17084,21167,7925,16191,39741,7714,24461,55845
2020,R23000,aichi,Tyubu,7542415,3761502,3780913,7164758,973642,4502713,1864603,55613,1,70518,105208,107475,35390,11713,17,36,3,1711,71105,157939,24518,410482,13744,206920,12354,190309,11364,177380,40628,895,22,284,282283,78351,13305,20536,9784,14453,45329,14570,26949,45022
2020,R24000,mie,Kansai,1770254,864475,905779,1698876,211090,997052,522073,11141,1,20716,25108,29419,6855,2759,17,34,4,1787,12874,39969,6847,91910,3772,47472,3472,45829,1268,14064,3129,947,20,81,285114,73364,15410,19790,8679,12212,52476,9353,26012,53140
2020,R25000,shiga,Kansai,1413610,697429,716181,1359501,191369,824781,365311,10437,2,13039,24935,25427,5878,2050,16,34,2,1863,11436,34237,5513,81054,3113,40601,2783,37868,1085,31100,7141,822,18,50,304172,81180,12435,21491,11649,12620,55097,12135,29293,54566
2020,R26000,kyoto,Kansai,2578087,1231468,1346619,2460764,293465,1467216,734493,16440,1,26860,51753,55681,10197,3742,17,36,3,1645,22094,54203,8395,121712,5204,65443,5222,67847,10291,141870,31639,785,14,152,253880,79072,8686,20662,8888,13433,31929,12487,23448,43543
2020,R27000,osaka,Kansai,8837685,4235956,4601729,8411856,1029499,5199504,2361723,61878,1,91644,159317,145935,40989,14832,18,36,5,1522,78517,163745,28574,427884,16867,220342,14451,214115,13911,226452,50478,915,13,473,246247,76729,18912,20164,7903,12829,24808,10542,19294,44371
2020,R28000,hyogo,Kansai,5465002,2599756,2865246,5215927,660205,3075863,1546543,36953,1,58654,83526,91049,21964,8370,18,34,5,1615,45514,103747,18485,282758,10316,142012,9930,132810,6873,116299,26160,901,16,314,268760,78235,11982,17461,9449,15875,31173,12525,23502,53604
2020,R29000,nara,Kansai,1324473,623926,700547,1302289,154271,737675,414576,7831,1,14678,22128,25177,4574,1831,16,36,2,1629,11097,26285,4892,67172,2840,36085,2561,33849,1538,20655,4365,883,16,71,299627,81275,21951,22665,9912,14386,40514,16884,27727,52654
2020,R30000,wakayama,Kansai,922584,435051,487533,911408,105360,503704,305500,5732,1,12610,10631,13808,3527,1529,18,35,4,1658,4606,19765,3914,44501,2280,23633,2119,24240,693,7524,1594,938,13,75,245467,65955,17125,19669,7608,15361,29836,8723,21593,49261
2020,R31000,tottori,Tyugoku,553407,264432,288975,543979,68330,300002,177046,3783,2,7096,8144,9152,2098,814,16,35,2,2096,2021,16994,2415,28238,1403,14522,1389,14572,853,6736,1484,995,29,39,296669,76348,17658,21726,9164,13722,61606,5735,24816,53702
2020,R32000,shimane,Tyugoku,671126,324291,346835,656197,81641,352656,227881,4473,2,9585,9693,11225,2398,877,16,34,2,2015,2852,22067,3162,33921,1859,17119,1739,17707,884,7098,1479,946,21,38,294519,73347,18742,24954,8691,13740,49798,8320,24210,59770
